stop_id,stop_name,stop_lon,stop_lat,source,Zone,CodeQInch,CodeHInch,Code1Inch,PblYear
H0001,Abathpalli,78.486747,17.852821,hamlets,56,K,NULL,5,1972
H0002,Abdullapur,78.69635,17.321074,hamlets,56,K,NULL,11,1976
H0003,Ablapuram,78.1401892476,18.0112872118,hamlets,56,J,NULL,4,1981
H0004,Achaipalle,78.577133,17.708957,hamlets,56,K,NULL,10,1975
H0005,Achampet,78.312511,17.766264,hamlets,56,K,NULL,5,1972
H0006,Achchapeta Tanda,79.0135783548,16.64266108,hamlets,56,P,NULL,2,1987
H0007,Achchnaguda,78.269787,17.556694,hamlets,56,K,NULL,6,1975
H0008,Achhcmpet,78.40552,17.924092,hamlets,56,K,NULL,5,1972
H0009,Adibatla,78.54757164,17.23010463,hamlets,56,K,NULL,12,1967
H0010,ADIKMET,78.520358,17.405973,hamlets,56,K,NULL,11,1976
H0011,Adilabad,78.71161,17.414904,hamlets,56,K,NULL,11,1976
H0012,Admapur,78.206081,17.783053,hamlets,56,K,NULL,1,1968
H0013,Adulapur,78.383564,17.80313,hamlets,56,K,NULL,5,1972
H0014,Adwi Masjid,78.680027,17.700643,hamlets,56,K,NULL,10,1975
H0015,AFZALGANJ,78.473803,17.37449,hamlets,56,K,NULL,7,1976
H0016,Aganuti,78.639691,17.678525,hamlets,56,K,NULL,10,1975
H0017,Agarmiyaguda,78.52801788,17.14641615,hamlets,56,K,NULL,12,1967
H0018,Aggarapalli,78.529516,17.736732,hamlets,56,K,NULL,10,1975
H0019,Aghapalli,78.67522836,17.13612204,hamlets,56,K,NULL,12,1967
H0020,Agraharam,78.7208181177,16.7394989305,hamlets,56,L,NULL,10,1970
H0021,Agraharam,78.009145699,16.927183496,hamlets,56,L,NULL,1,1969
H0022,Agraharam,78.384173,17.990451,hamlets,56,K,NULL,5,1972
H0023,Ahmadguda,78.625546,17.500371,hamlets,56,K,NULL,10,1975
H0024,Ahmadipur,78.722705,17.924014,hamlets,56,K,NULL,9,1972
H0025,Ahmednagar,78.204711,17.821398,hamlets,56,K,NULL,1,1968
H0026,Ailakuntabhavi,79.1546341775,17.5161316262,hamlets,56,O,NULL,2,1967
H0027,Aipoor,79.0153101243,17.2079332296,hamlets,56,O,NULL,4,1987
H0028,Aitol,78.3481648764,16.613858204,hamlets,56,L,NULL,6,1969
H0029,Ajalapur,79.2077954901,16.8784613859,hamlets,56,P,NULL,1,1969
H0030,Ajalapur,77.998161,16.88956,hamlets,56,H,NULL,13,1987
H0031,Ajalapuram,78.6834233851,16.7895899396,hamlets,56,L,NULL,9,1970
H0032,Ajanga Tanda,78.79883616,17.07998283,hamlets,56,K,NULL,16,1967
H0033,Ajjamarri,78.112229,17.823136,hamlets,56,K,NULL,1,1968
H0034,Ajlapuram,78.8068502705,16.9818989846,hamlets,56,L,NULL,13,1970
H0035,Akanapet,78.4011226565,18.1123886353,hamlets,56,J,NULL,8,1978
H0036,Akannapalli,78.209005,17.25697,hamlets,56,K,NULL,3,1987
H0037,Akbarjapet,78.546589,17.642554,hamlets,56,K,NULL,10,1975
H0038,Akbarpura,78.418369,17.395289,hamlets,56,K,NULL,7,1976
H0039,Akenapalli,78.3910823,17.087055073,hamlets,56,K,SW,8,1967
H0040,Akhtaraliguda,78.540308,17.577501,hamlets,56,K,NULL,10,1975
H0041,Akkammapalli,78.290852,17.945172,hamlets,56,K,NULL,5,1972
H0042,Akkampalli,79.1097996014,16.6961909015,hamlets,56,P,NULL,2,1987
H0043,Akkampalli,78.9957126,17.38203966,hamlets,56,K,NULL,15,1967
H0044,Akkaram,78.742332,17.82102,hamlets,56,K,NULL,9,1972
H0045,Akkiwaniguda,78.2880417728,17.1844784777,hamlets,56,K,SW,8,1967
H0046,Aknapur,77.993922,17.380908,hamlets,56,G,NULL,15,1969
H0047,Aksanpalli,77.978175,17.818427,hamlets,56,G,NULL,13,1969
H0048,AkutotabaviTanda,78.91171344,17.38605537,hamlets,56,K,NULL,15,1967
H0049,Akutotapalli,78.7985158495,16.6381489297,hamlets,56,L,NULL,14,1970
H0050,Akutotapalli,78.6034784171,16.8706575642,hamlets,56,L,NULL,9,1970
H0051,AKUTPURA,78.485506,17.360134,hamlets,56,K,NULL,7,1976
H0052,Alair,79.0454504842,17.6442961692,hamlets,56,O,NULL,2,1967
H0053,Alakhanguda,78.098567,17.45459,hamlets,56,K,NULL,3,1987
H0054,Alampalli,77.906197,17.349849,hamlets,56,G,NULL,15,1969
H0055,Ali Sahibguda,78.3082188298,17.1137719895,hamlets,56,K,SW,8,1967
H0056,ALIABAD,78.47096,17.345257,hamlets,56,K,NULL,7,1976
H0057,Aliabad,78.601381,17.620677,hamlets,56,K,NULL,10,1975
H0058,Alijapur,78.390937,17.390694,hamlets,56,K,NULL,7,1976
H0059,Alimpuram,79.0169487828,17.825336866,hamlets,56,O,NULL,1,1968
H0060,Alinagar,78.78077784,17.3834478,hamlets,56,K,NULL,15,1967
H0061,Alinagar,78.382342,17.601317,hamlets,56,K,NULL,6,1975
H0062,Alinagaram,78.70395,17.707208,hamlets,56,K,NULL,10,1975
H0063,Alipur,77.80567,17.321824,hamlets,56,G,NULL,15,1969
H0064,Alipur,78.326321,17.836835,hamlets,56,K,NULL,5,1972
H0065,Alirajapalli,78.77298096,17.79787278,hamlets,56,K,NULL,13,1967
H0066,Alirajapet,78.7818654,17.78815935,hamlets,56,K,NULL,13,1967
H0067,Allabad,78.005308,17.572555,hamlets,56,K,NULL,2,1986
H0068,Allahpur,78.83172144,17.21085687,hamlets,56,K,NULL,16,1967
H0069,Allahpur,77.87189,17.741476,hamlets,56,G,NULL,14,1969
H0070,Allahpuram,78.488726,17.812197,hamlets,56,K,NULL,5,1972
H0071,Allalpalli,78.2595316534,16.6359751372,hamlets,56,L,NULL,6,1969
H0072,Allamdevicheruvuk,78.92331084,17.19065817,hamlets,56,K,NULL,16,1967
H0073,Allapur,77.92539516,17.08708032,hamlets,56,G,NULL,16,1969
H0074,Allarajubavigudem,79.0378419935,16.9425816109,hamlets,56,P,NULL,1,1969
H0075,Allavada,78.13408,17.255509,hamlets,56,K,NULL,3,1987
H0076,Alma Tanda,77.943642,17.539757,hamlets,56,G,NULL,14,1969
H0077,Almaipet,78.096363,17.778357,hamlets,56,K,NULL,1,1968
H0078,Almaspuram,78.5918625604,18.0441857177,hamlets,56,J,NULL,12,1982
