sr,stop_id,stop_name,stop_desc,source,rank,stop_lat,stop_lon,po_code
0,PO_0,Buchannapet -506221,506221,postoffice,7,17.79063,79.03387,163467
1,PO_1,Amradikalan -501202,501202,postoffice,7,17.56382,77.89242,310501
2,PO_2,Ananthavaram Po,,postoffice,7,17.69481,77.80982,173100
3,PO_3,Ganugupahad -506175,506175,postoffice,7,17.7893,79.13808,166621
4,PO_4,Atmakur Bo -502291,502291,postoffice,7,17.682,77.93438,173250
5,PO_5,Barwad Bo -501106,501106,postoffice,7,17.44999,77.79691,383252
6,PO_6,Bobilgaom Post Office -502291,502291,postoffice,7,17.70738,77.91053,173251
7,PO_7,Buchanpalli -501202,501202,postoffice,7,17.52354,77.73945,334388
8,PO_8,Budhera,,postoffice,7,17.62913,77.84137,180335
9,PO_9,Kamkole -502345,502345,postoffice,7,17.64884,77.80773,172836
10,PO_10,Khammampally -502345,502345,postoffice,7,17.69769,77.8446,194648
11,PO_11,Kolkonda -501202,501202,postoffice,7,17.64586,77.82023,310215
12,PO_12,Komshetpally,,postoffice,7,17.62347,77.8334,180334
13,PO_13,Konapur Bo -502291,502291,postoffice,7,17.64174,77.88364,172316
14,PO_14,Kothapally Bo -501106,501106,postoffice,7,17.41115,77.74074,383209
15,PO_15,Kothlapur -501202,501202,postoffice,7,17.53957,77.80263,334054
16,PO_16,Kotmarpalli Bo -501202,501202,postoffice,7,17.50639,77.79348,334183
17,PO_17,Marigadi Bo -506175,506175,postoffice,7,17.77804,79.17559,167796
18,PO_18,Maddikunta Bo -502291,502291,postoffice,7,17.60263,77.91685,172304
19,PO_19,Malasomaram -501106,501106,postoffice,7,17.46053,77.76152,383226
20,PO_20,Mallikarjunapally Bo A/w Kamkole So,,postoffice,7,17.72725,77.87946,234727
21,PO_21,Marpalli Kalan -501202,501202,postoffice,7,17.54052,77.77154,334572
22,PO_22,Munipally Bo A/w Kamkole So,,postoffice,7,17.69079,77.86607,234724
23,PO_23,Panchalingal -501202,501202,postoffice,7,17.55545,77.81312,293265
24,PO_24,Patloor -501202,501202,postoffice,7,17.58486,77.79172,292564
25,PO_25,Pocharam -502293,502293,postoffice,7,17.72935,77.95052,174409
26,PO_26,Ps Nagar Bo -502291,502291,postoffice,7,17.62303,77.92694,170888
27,PO_27,Ravulpally -501106,501106,postoffice,7,17.47756,77.77076,383231
28,PO_28,Peddapahad -506175,506175,postoffice,7,17.77704,79.09872,166975
29,PO_29,Sirpura -501202,501202,postoffice,7,17.52478,77.84357,261573
30,PO_30,Suraram Bo -502291,502291,postoffice,7,17.61872,77.8959,172312
31,PO_31,Thangadpally Bo -502291,502291,postoffice,7,17.59775,77.8846,172307
32,PO_32,Tummalpalli -501202,501202,postoffice,7,17.58211,77.83595,292846
33,PO_33,Yennaram -501106,501106,postoffice,7,17.42819,77.75513,244090
34,PO_34,Yennaram Bo -501106,501106,postoffice,7,17.42834,77.75512,383244
35,PO_35,501102 -501102,501102,postoffice,7,17.35003,77.90476,177750
36,PO_36,501503 -501503,501503,postoffice,7,17.37808,78.16323,221780
37,PO_37,A I E R C Puram -502032,502032,postoffice,7,17.50289,78.31149,176401
38,PO_38,Admin-building Po. -502032,502032,postoffice,7,17.49229,78.29063,169502
39,PO_39,Admin-building Po. R C Puram -502032,502032,postoffice,7,17.49229,78.29063,170513
40,PO_40,Aie Bollaram S O -502325,502325,postoffice,7,17.55341,78.35049,177873
41,PO_41,Air Force Academy So -500043,500043,postoffice,7,17.65306,78.39707,184074
42,PO_42,Allampalli -500102,500102,postoffice,7,17.35011,77.90486,171313
43,PO_43,Alur -501503,501503,postoffice,7,17.33008,78.06925,227604
44,PO_44,Ameenpur B O -502032,502032,postoffice,7,17.52455,78.32272,177755
45,PO_45,Ananthagiripally -501102,501102,postoffice,7,17.33469,77.90323,381759
46,PO_46,Anatha Sagar Bo -502306,502306,postoffice,7,17.56267,77.95268,174959
47,PO_47,Annarram Bo -502313,502313,postoffice,7,17.63337,78.3794,172795
48,PO_48,Antaram -501503,501503,postoffice,7,17.32587,78.03292,227417
49,PO_49,Athvelly -501102,501102,postoffice,7,17.38619,77.88182,381371
50,PO_50,Bdl Bhanoor So -502305,502305,postoffice,7,17.47012,78.16303,171900
51,PO_51,Bhanoor Bo -502305,502305,postoffice,7,17.49141,78.17707,171792
52,PO_52,Bharathi Nagar -502032,502032,postoffice,7,17.50446,78.28855,172931
