sr,stop_id,stop_name,stop_desc,source,rank,stop_lat,stop_lon
0,src5_863,30c,"asbestos colony road, pragathi nagar, kamalaprasad nagar, hyderabad",src5,3,17.4963,78.42857
1,src5_3864,35 ground,dr as rao nagar,src5,3,17.47532,78.55641
2,887,6 number,6 number towards amberpet,gps-logs-ghz|kodali-stops,2,17.39174,78.51236
3,889,6 number,6 number towards tilak nagar,gps-logs-ghz|kodali-stops,2,17.3918,78.51082
4,src5_3374,6 number,,src5,3,17.39164,78.51092
5,src5_1227,7 temples,"bollaram station road, ratna colony, bolarum, secunderabad",src5,3,17.51731,78.51293
6,src5_1378,8v x road,"n.g.o's colony, sachivalaya colony, vanasthalipuram, hyderabad",src5,3,17.32553,78.57151
7,2468,9 number x road,9number x road,gps-logs-ghz|kodali-stops,2,17.35577,78.43393
8,2469,9 number x road,9number x road towards,gps-logs-ghz|kodali-stops,2,17.35656,78.43831
9,src5_2103,9th phase rtc,"9th phase road, k p h b phase 9, kukatpally housing board, hyderabad",src5,3,17.48543,78.38575
10,1685,a g colony x road,a g colony x road towards,gps-logs-ghz,2,17.44416,78.433
11,src5_1822,a-type,"hcl colony, cherlapalli, secunderabad",src5,3,17.45299,78.59078
12,src5_3892,a. p. s. r. t. c kushaiguda depot,"ecil main road, kamal nagar colony, moula ali, secunderabad",src5,3,17.46854,78.5652
13,src5_3467,a.o.c.,,src5,3,17.47436,78.51717
14,src5_3468,a.o.c.,,src5,3,17.47431,78.51755
15,src5_3461,a.o.c. center a,,src5,3,17.45331,78.51185
16,src5_3459,a.o.c. chowk,,src5,3,17.45907,78.51533
17,src5_3460,a.o.c. chowk,,src5,3,17.45906,78.51564
18,src5_3457,a.o.c. gouha road,,src5,3,17.45792,78.51442
19,src5_3458,a.o.c. gouha road,,src5,3,17.45878,78.51502
20,node/4873113023,a.p.r.t.c,,osm,4,17.34466,78.55392
21,node/675647348,a.p.s.r.t.c bus depot -v.s.t,,osm,4,17.40663,78.5034
22,src5_1679,a.p.s.r.t.c pedda amberpet,"national highway 9, hayathnagar, pedda amberpet, hyderabad",src5,3,17.32168,78.63864
23,src5_363,a.p.s.r.t.c shamshabad bus station,"asian highway 43, bus stand colony, brindavan colony, shamshabad, hyderabad",src5,3,17.26245,78.38777
24,src5_676,aaramghar,"pv narasimha rao expressway, sai baba nagar, aaramghar, hyderabad",src5,3,17.32106,78.43151
25,781,aaykar bhavan,,shakti-gtfs,5,17.40118,78.47315
26,src5_1916,abdullapur,,src5,3,17.32023,78.69244
27,src5_1917,abdullapur sc colony,,src5,3,17.32231,78.69404
28,src5_1915,abdullapur village,,src5,3,17.32036,78.6924
29,3567,abdullapurmet,abdullapur met,gps-logs-ghz,2,17.31004,78.68643
30,3594,abdullapurmet,abdullapur met,gps-logs-ghz,2,17.30983,78.68647
31,src5_1918,abdullapurmet,"kawadipally road, abdullahpurmet, hyderabad",src5,3,17.31025,78.68635
32,src5_1919,abdullapurmet,"kothagudam road, national highway 65, abdullahpurmet, hyderabad",src5,3,17.31014,78.68635
